title,author,length
"Girl, Forgotten",Karin Slaughter,15 hrs and 45 mins
Personal,Alexandria House,6 hrs and 23 mins
What If? 2,Randall Munroe,8 hrs
American Ripper,Patrick Kendrick,19 hrs and 33 mins
Hunger,Nicoli Gonnella,28 hrs and 7 mins
Dark Whispers from Afar,I. T. Lucas,8 hrs and 14 mins
Flame and Fortune,Jana DeLeon,8 hrs and 30 mins
Safe and Sound,E.M. Lindsey,6 hrs and 51 mins
Archer's Voice,Mia Sheridan,11 hrs and 7 mins
Noble Roots,Drew Hayes,23 hrs and 36 mins
The Bullet That Missed,Richard Osman,Not Yet Known
"First Command Box Set: Spacers, Books 1-6",Scott Bartlett,43 hrs and 54 mins
The Primal Hunter 3,Zogarth,18 hrs and 23 mins
Sin,Jolie Vines,8 hrs and 47 mins
The Return,Dick Morris,6 hrs and 47 mins
Put Your Ass Where Your Heart Wants to Be,Steven Pressfield,1 hr and 55 mins
Wayward Wisteria,Angela Pepper,8 hrs and 31 mins
How to Be a Boss B*tch,"Christine Quinn,Rachel Holtzman",7 hrs and 43 mins
"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,Not Yet Known
Knot So Perfect Omega,Maya Nicole,7 hrs
My Dead World: Book 4,Jacqueline Druga,5 hrs and 46 mins
Mike Bravo Ops: Rogue,Eden Finley,7 hrs and 35 mins
The Tyrant Alpha's Rejected Mate,Cate C. Wells,12 hrs and 23 mins
The Return,Dick Morris,6 hrs and 47 mins
Overkill,Sandra Brown,10 hrs and 10 mins
The Housemaid,Freida McFadden,9 hrs and 41 mins
Whirlwind,John Ferling,18 hrs and 22 mins
The Hitchhiker's Guide to the Galaxy,Douglas Adams,5 hrs and 51 mins
The Magic of Thinking Big,David Schwartz,9 hrs and 31 mins
Timeless,"Wayne Stinnett,John H. Cunningham,Nick Sullivan,Nicholas Harvey",8 hrs and 44 mins
Reborn,D.I. Freed,23 hrs and 51 mins
Broken Bonds,J Bree,8 hrs and 51 mins
The Virgin Next Door,Lauren Blakely,6 hrs and 11 mins
Both/and Thinking,"Wendy Smith,Marianne Lewis,Amy C. Edmondson - foreword",9 hrs and 47 mins
The Mystery of Montague Morgan,Karen Baugh Menuhin,8 hrs and 24 mins
Nona the Ninth,Tamsyn Muir,17 hrs and 46 mins
Mine to Hold,Natasha Madison,6 hrs and 35 mins
The Wraithbone Phoenix,Alec Worley,11 hrs and 6 mins
The Magic of Thinking Big,David Schwartz,9 hrs and 31 mins
The Virgin Next Door,Lauren Blakely,6 hrs and 11 mins
Raw,Misty Vixen,8 hrs and 1 min
The Mystery of Montague Morgan,Karen Baugh Menuhin,8 hrs and 24 mins
Broken Bonds,J Bree,8 hrs and 51 mins
Monroe Doctrine: Volume V,"James Rosone,Alex Aaronson",13 hrs and 40 mins
The Wraithbone Phoenix,Alec Worley,11 hrs and 6 mins
The 21 Irrefutable Laws of Leadership: 25th Anniversary,John C. Maxwell,9 hrs and 32 mins
The 6:20 Man,David Baldacci,11 hrs and 48 mins
Where the Sky Begins,Rhys Bowen,11 hrs and 11 mins
Secrets of Mind Manipulation,Mickey Royal,3 hrs and 13 mins
Twisted Love,Ana Huang,10 hrs and 41 mins
Elemental Magic: The Complete Series,Chandelle LaVaun,40 hrs and 59 mins
La guía práctica para ser feliz [The Practical Guide to Be Happy],Elán,1 hr and 57 mins
The Jigsaw Assassin,Catherine Asaro,16 hrs and 24 mins
Outgunned,Denny Flowers,10 hrs
Tempted by Danger,Endiya Carter,12 hrs and 17 mins
Reborn,D.I. Freed,23 hrs and 51 mins
To Kill a Mockingbird,Harper Lee,12 hrs and 17 mins
All Good People Here,Ashley Flowers,10 hrs and 35 mins
Sapiens,Yuval Noah Harari,15 hrs and 18 mins
Strong in Battle,Susie Larson,7 hrs and 38 mins
The Five Dysfunctions of a Team,Patrick Lencioni,3 hrs and 42 mins
Adult Children of Emotionally Immature Parents,Lindsay C. Gibson PsyD,6 hrs and 50 mins
Good to Great,Jim Collins,10 hrs and 1 min
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss,13 hrs and 1 min
Fahrenheit 451,Ray Bradbury,5 hrs and 1 min
Blue Shift,"J.N. Chaney,Terry Maggert",11 hrs and 20 mins
Empath and Narcissist,Pamela Stewart,21 hrs and 27 mins
"The Truth About Energy, Global Warming, and Climate Change","Jerome R. Corsi PhD,Marc Morano - foreword",15 hrs and 26 mins
Tongue Eater,John Bierce,20 hrs and 2 mins
The Chemist,Stephenie Meyer,17 hrs and 1 min
Crucial Conversations (Third Edition),"Joseph Grenny,Kerry Patterson,Ron McMillan,Al Switzler,Emily Gregory",7 hrs and 45 mins
The Quitter’s Manifesto,"Tim Rhode,Pat Hiban",2 hrs and 9 mins
The Girl in the Spider's Web,David Lagercrantz,13 hrs and 23 mins
Marriage Is Murder,Aimee Nicole Walker,8 hrs and 52 mins
Convergence,Craig Alanson,16 hrs and 56 mins
Resilient,John Eldredge,6 hrs and 41 mins
The Metaverse,Matthew Ball,13 hrs and 38 mins
Praise,Sara Cate,10 hrs and 37 mins
El caso Alaska Sanders [The Alaskan Sanders Case],Joël Dicker,17 hrs and 33 mins
Dark Class,Michelle Diener,13 hrs
Dragon's Justice 4,Bruce Sentar,10 hrs and 36 mins
Holy Moments,Matthew Kelly,2 hrs and 43 mins
Mars System Reboot,Dave Willmarth,15 hrs and 33 mins
The Diary of St. Maria Faustina Kowalska,Saint Maria Faustina Kowalska,30 hrs and 9 mins
The Genesis of Gender,Abigail Favale,7 hrs and 11 mins
The Romance of Reality,Bobby Azarian,12 hrs and 8 mins
The Rational Male - The Players Handbook,Rollo Tomassi,12 hrs and 33 mins
Always,Loren Leigh,8 hrs and 34 mins
Desert Star,Michael Connelly,Not Yet Known
Ruby Fever,Ilona Andrews,12 hrs and 26 mins
My Fake Fiancé,Piper Rayne,6 hrs and 10 mins
Born a Crime,Trevor Noah,8 hrs and 44 mins
Wildflower,Drew Barrymore,7 hrs and 5 mins
Daisy Darker,Alice Feeney,10 hrs and 54 mins
How Did You Survive Alone?,"Ki Brightly,M.D. Gregory",13 hrs and 33 mins
Heart of Lies,Lisa Edmonds,19 hrs and 44 mins
Wild Fire,"Nicholas Sansbury Smith,Anthony Melchiorri",11 hrs and 9 mins
Vigil's Justice,James A. Hunter,13 hrs and 27 mins
The Romance of Reality,Bobby Azarian,12 hrs and 8 mins
Always,Loren Leigh,8 hrs and 34 mins
Desert Star,Michael Connelly,Not Yet Known
Ruby Fever,Ilona Andrews,12 hrs and 26 mins
My Fake Fiancé,Piper Rayne,6 hrs and 10 mins
Born a Crime,Trevor Noah,8 hrs and 44 mins
Traction,Gino Wickman,6 hrs and 56 mins
Wildflower,Drew Barrymore,7 hrs and 5 mins
Daisy Darker,Alice Feeney,10 hrs and 54 mins
SafeHaven,Xander Jade,10 hrs and 7 mins
Dangerous Gamble,Daniel Schinhofen,12 hrs and 47 mins
How Did You Survive Alone?,"Ki Brightly,M.D. Gregory",13 hrs and 33 mins
Heartbreaker,Sarah MacLean,12 hrs and 16 mins
Wild Fire,"Nicholas Sansbury Smith,Anthony Melchiorri",11 hrs and 9 mins
Vigil's Justice,James A. Hunter,13 hrs and 27 mins
Never Split the Difference,Chris Voss,8 hrs and 7 mins
The Untethered Soul,Michael A. Singer,6 hrs and 11 mins
The Alchemist,Paulo Coelho,4 hrs
The Millionaire Next Door,"Thomas J. Stanley Ph.D.,William D. Danko Ph.D.",8 hrs and 16 mins
Eragon,Christopher Paolini,16 hrs and 22 mins
Essentialism,Greg McKeown,6 hrs and 14 mins
The Intelligent Investor Rev Ed.,Benjamin Graham,17 hrs and 48 mins
Grit,Angela Duckworth,9 hrs and 22 mins
The Challenge,Danielle Steel,6 hrs and 48 mins
Soul Fraud,Andrew Givler,10 hrs and 39 mins
Superpowers Unlocked,Justin Trublood,10 hrs and 20 mins
The Killings at Badger’s Drift,Caroline Graham,8 hrs and 22 mins
The Hunt,Faye Kellerman,17 hrs and 12 mins
Autodisciplina diaria y Procrastinación 2 audiolibros en 1 [Daily Self-Discipline and Procrastination 2 Audiobooks in 1],Happy Academy,4 hrs and 26 mins
In the Pines,Kendra Elliot,8 hrs and 51 mins
King of Battle and Blood,Scarlett St. Clair,12 hrs and 26 mins
Transformer,Nick Lane,10 hrs and 55 mins
Shoe Dog,Phil Knight,13 hrs and 21 mins
Killers of the Flower Moon,David Grann,9 hrs and 4 mins
Lend to Live,"Alexandria Breshears,Beth Pinkley Johnson",8 hrs and 27 mins
Black Hamptons,"Carl Weber,La Jill Hunt",10 hrs and 23 mins
Do No Harm,Robert Pobi,11 hrs and 58 mins
Vindicta,Steven Konkoly,10 hrs and 1 min
The Heir of Shadows,Candice Wright,8 hrs and 15 mins
