title,author,length
Beach Lawyer,Avery Duff,11 hrs and 35 mins
Quiet,Susan Cain,10 hrs and 39 mins
Getting Things Done,David Allen,10 hrs and 23 mins
The Giver,Lois Lowry,4 hrs and 49 mins
The Purpose Driven Life,Rick Warren,9 hrs and 38 mins
Just Mercy (Movie Tie-In Edition),Bryan Stevenson,11 hrs and 11 mins
One Second After,William R. Forstchen,13 hrs and 17 mins
The Outsiders,S. E. Hinton,5 hrs and 8 mins
Autobiography of a Yogi,Paramahansa Yogananda,17 hrs and 50 mins
Psycho-Cybernetics,Maxwell Maltz,12 hrs and 16 mins
The Lean Startup,Eric Ries,8 hrs and 38 mins
The Things They Carried,Tim O'Brien,7 hrs and 47 mins
The Goal,"Eliyahu M. Goldratt,Jeff Cox",11 hrs and 45 mins
Genghis Khan and the Making of the Modern World,Jack Weatherford,14 hrs and 20 mins
Salt to the Sea,Ruta Sepetys,8 hrs and 47 mins
"Where'd You Go, Bernadette",Maria Semple,9 hrs and 35 mins
Holes,Louis Sachar,4 hrs and 30 mins
Rare Objects,Kathleen Tessaro,13 hrs and 28 mins
The Omnivore's Dilemma,Michael Pollan,15 hrs and 53 mins
A Darker Shade of Magic,V. E. Schwab,11 hrs and 34 mins
The Science of Getting Rich,Wallace D. Wattles,2 hrs and 28 mins
Talk Like TED,Carmine Gallo,7 hrs and 42 mins
One of Us Is Lying (TV Series Tie-In Edition),Karen M. McManus,10 hrs and 43 mins
Contagious,Jonah Berger,6 hrs and 50 mins
The Unseen Realm,Dr. Michael S. Heiser,15 hrs and 43 mins
East of Eden,John Steinbeck,25 hrs and 23 mins
What Your Food Ate,"David R. Montgomery,Anne Biklé",15 hrs and 53 mins
The Agatha Christie Collection: 30 Books,Agatha Christie,46 hrs and 11 mins
Dungeon Market,"Wolfe Locke,Mike Caliban",7 hrs and 16 mins
The Guns of August,Barbara W. Tuchman,19 hrs and 9 mins
Fabric,Victoria Finlay,17 hrs and 30 mins
The Once and Future King,T. H. White,33 hrs
Best Friend Trouble,Alex McAnders,20 hrs and 48 mins
The Ex-Husband,Samantha Hayes,10 hrs and 2 mins
Rook,L. Ann,9 hrs and 12 mins
The Lady and the Orc,Finley Fenn,14 hrs and 20 mins
The Breathing Cure,Patrick McKeown,16 hrs and 29 mins
The Fifth Season,N. K. Jemisin,15 hrs and 27 mins
The Time Traveler's Wife,Audrey Niffenegger,17 hrs and 38 mins
Best Friend Trouble,Alex McAnders,20 hrs and 48 mins
The Shack,William P. Young,9 hrs and 15 mins
Talk Like TED,Carmine Gallo,7 hrs and 42 mins
The Seven Storey Mountain,Thomas Merton,2 hrs and 33 mins
13 Things Mentally Strong People Don't Do,Amy Morin,6 hrs and 36 mins
Lean In,Sheryl Sandberg,6 hrs and 27 mins
Falling Upward,Richard Rohr,6 hrs and 27 mins
I Am Malala,"Malala Yousafzai,Christina Lamb - contributor",9 hrs and 55 mins
The Unseen Realm,Dr. Michael S. Heiser,15 hrs and 43 mins
Contagious,Jonah Berger,6 hrs and 50 mins
East of Eden,John Steinbeck,25 hrs and 23 mins
Dungeon Market,"Wolfe Locke,Mike Caliban",7 hrs and 16 mins
The Guns of August,Barbara W. Tuchman,19 hrs and 9 mins
3rd Degree: Booktrack Edition,"James Patterson,Andrew Gross",6 hrs and 46 mins
Torment,Jeremy Robinson,9 hrs and 59 mins
The Ex-Husband,Samantha Hayes,10 hrs and 2 mins
Debt - Updated and Expanded,David Graeber,17 hrs and 48 mins
Honor,Thrity Umrigar,11 hrs and 19 mins
The Breathing Cure,Patrick McKeown,16 hrs and 29 mins
Station Eleven (Television Tie-in),Emily St. John Mandel,10 hrs and 40 mins
The Ideal Team Player,Patrick M. Lencioni,5 hrs and 3 mins
The $100 Startup,Chris Guillebeau,8 hrs and 14 mins
The Goldfinch,Donna Tartt,32 hrs and 24 mins
Wild at Heart,John Eldredge,8 hrs and 20 mins
The Mindbody Prescription,John E. Sarno M.D.,7 hrs and 4 mins
Trump: The Art of the Deal,"Donald J. Trump,Tony Schwartz",9 hrs and 59 mins
The New Jim Crow,Michelle Alexander,16 hrs and 57 mins
Divergent,Veronica Roth,11 hrs and 11 mins
"The Go-Giver, Expanded Edition","Bob Burg,John David Mann",2 hrs and 54 mins
Antifragile,Nassim Nicholas Taleb,16 hrs and 14 mins
Gardens of the Moon,Steven Erikson,26 hrs and 3 mins
The Speed of Trust,Stephen M. R. Covey,12 hrs and 13 mins
Rocket Fuel,"Gino Wickman,Mark C. Winters",4 hrs and 26 mins
Switch,"Dan Heath,Chip Heath",7 hrs and 43 mins
Journey of Souls,Michael Newton,11 hrs and 18 mins
They Both Die at the End,Adam Silvera,8 hrs and 30 mins
Fervent,Priscilla Shirer,4 hrs and 25 mins
Charlie and the Chocolate Factory,Roald Dahl,3 hrs and 18 mins
Feeling Good,David D. Burns MD,13 hrs and 20 mins
The Ideal Team Player,Patrick M. Lencioni,5 hrs and 3 mins
Station Eleven (Television Tie-in),Emily St. John Mandel,10 hrs and 40 mins
The Prince,Niccolo Machiavelli,4 hrs and 47 mins
The $100 Startup,Chris Guillebeau,8 hrs and 14 mins
The New Jim Crow,Michelle Alexander,16 hrs and 57 mins
The Goldfinch,Donna Tartt,32 hrs and 24 mins
Assata,"Assata Shakur,Angela Davis - foreword",12 hrs and 18 mins
Wild at Heart,John Eldredge,8 hrs and 20 mins
The Mindbody Prescription,John E. Sarno M.D.,7 hrs and 4 mins
Antifragile,Nassim Nicholas Taleb,16 hrs and 14 mins
"The Go-Giver, Expanded Edition","Bob Burg,John David Mann",2 hrs and 54 mins
Trump: The Art of the Deal,"Donald J. Trump,Tony Schwartz",9 hrs and 59 mins
How Will You Measure Your Life?,"Clayton M. Christensen,James Allworth",5 hrs and 28 mins
The Universe Has Your Back,Gabrielle Bernstein,4 hrs and 30 mins
Gardens of the Moon,Steven Erikson,26 hrs and 3 mins
The Speed of Trust,Stephen M. R. Covey,12 hrs and 13 mins
Divergent,Veronica Roth,11 hrs and 11 mins
Rocket Fuel,"Gino Wickman,Mark C. Winters",4 hrs and 26 mins
Charlie and the Chocolate Factory,Roald Dahl,3 hrs and 18 mins
Switch,"Dan Heath,Chip Heath",7 hrs and 43 mins
Journey of Souls,Michael Newton,11 hrs and 18 mins
The Advantage,Patrick Lencioni,5 hrs and 25 mins
They Both Die at the End,Adam Silvera,8 hrs and 30 mins
Why Does He Do That?,Lundy Bancroft,13 hrs and 32 mins
A Child Called 'It',David Pelzer,3 hrs and 46 mins
The Ramona Quimby Audio Collection,"Beverly Cleary,Tracy Dockray",18 hrs and 56 mins
The Science of Getting Rich,Wallace D. Wattles,2 hrs and 28 mins
Feeling Good,David D. Burns MD,13 hrs and 20 mins
A Return to Love,Marianne Williamson,2 hrs and 40 mins
1491,Charles C. Mann,16 hrs and 17 mins
Fervent,Priscilla Shirer,4 hrs and 25 mins
Made to Stick,"Chip Heath,Dan Heath",8 hrs and 37 mins
On the Road,Jack Kerouac,11 hrs and 8 mins
The Martyr,Anthony Ryan,19 hrs and 42 mins
Gleam,Raven Kennedy,21 hrs and 1 min
The Art of Seduction,Robert Greene,5 hrs and 9 mins
The Cabinet of Dr. Leng,"Douglas Preston,Lincoln Child",13 hrs and 30 mins
Unbroken,Laura Hillenbrand,13 hrs and 56 mins
Slightly South of Simple,Kristy Woodson Harvey,9 hrs and 24 mins
"Solar Dragons Need Love, Too! 1",Virgil Knightley,10 hrs and 38 mins
The Girl Who Loved Tom Gordon,Stephen King,6 hrs and 29 mins
Descendants of War: The Complete Series,G J Ogden,54 hrs and 21 mins
The Seven Storey Mountain,Thomas Merton,2 hrs and 33 mins
In Order to Live,Yeonmi Park,9 hrs and 37 mins
The Seven Levels of Intimacy,Matthew Kelly,4 hrs and 55 mins
Lean In,Sheryl Sandberg,6 hrs and 27 mins
The Shack,William P. Young,9 hrs and 15 mins
The Success Principles(TM) - 10th Anniversary Edition,"Jack Canfield,Janet Switzer",21 hrs and 46 mins
Falling Upward,Richard Rohr,6 hrs and 27 mins
I Am Malala,"Malala Yousafzai,Christina Lamb - contributor",9 hrs and 55 mins
COVID-19 and the Global Predators,"Peter Roger Breggin,Ginger Breggin",24 hrs and 9 mins
The Rise and Fall of the Neoliberal Order,Gary Gerstle,13 hrs and 21 mins
The Graveside Bar and Grill,Darynda Jones,2 hrs and 42 mins
Nightfall,David Estes,42 hrs and 41 mins
Debt - Updated and Expanded,David Graeber,17 hrs and 48 mins
Fatal Witness,Robert Bryndza,9 hrs and 29 mins
The Light Between Us,Laura Lynne Jackson,8 hrs
The Dragonbone Chair,Tad Williams,33 hrs and 12 mins
The Communist Manifesto,Karl Marx,1 hr and 34 mins
Angela's Ashes,"Frank McCourt,Jeannette Walls - introduction",15 hrs and 8 mins
The Big Lie,Jonathan Lemire,10 hrs and 20 mins
The Innovator's Dilemma,Clayton M. Christensen,8 hrs and 37 mins
Mazzone Mafia: The Complete Series,Siobhan Davis,38 hrs and 45 mins
The Lost Metal,Brandon Sanderson,Not Yet Known
Battle for the American Mind,"Pete Hegseth,David Goodwin",9 hrs and 23 mins
"Spacers, Part 4",Scott Bartlett,11 hrs and 34 mins
Sound Man,Glyn Johns,6 hrs and 47 mins
The Girl Who Loved Tom Gordon,Stephen King,6 hrs and 29 mins
Ugly Girl,Sheridan Anne,6 hrs and 45 mins
The Success Principles(TM) - 10th Anniversary Edition,"Jack Canfield,Janet Switzer",21 hrs and 46 mins
So Good They Can't Ignore You,Cal Newport,6 hrs and 28 mins
The Invention of Wings,Sue Monk Kidd,13 hrs and 42 mins
Second Chance,Robert T. Kiyosaki,9 hrs and 15 mins
The Effective Executive,Peter F. Drucker,6 hrs and 15 mins
In Order to Live,Yeonmi Park,9 hrs and 37 mins
Bridge to Terabithia,Katherine Paterson,3 hrs and 30 mins
His Father's Son,Bentley Little,12 hrs and 39 mins
COVID-19 and the Global Predators,"Peter Roger Breggin,Ginger Breggin",24 hrs and 9 mins
The Rise and Fall of the Neoliberal Order,Gary Gerstle,13 hrs and 21 mins
The Graveside Bar and Grill,Darynda Jones,2 hrs and 42 mins
The Sophia Code,Kaia Ra,15 hrs and 53 mins
The Wall of Winnipeg and Me,Mariana Zapata,16 hrs
The Proper Care and Feeding of Husbands,Dr. Laura Schlessinger,2 hrs and 21 mins
The 15 Commitments of Conscious Leadership,"Jim Dethmer,Diana Chapman,Kaley Klemp",7 hrs and 53 mins
Death by Meeting,Patrick Lencioni,4 hrs and 31 mins
The Babysitter Lives,Stephen Graham Jones,7 hrs and 34 mins
The Flag and the Cross,"Samuel L. Perry,Philip S. Gorski,Jemar Tisby - foreword",4 hrs and 43 mins
Democracy and Its Alternatives,"Ethan Hollander,The Great Courses",8 hrs and 56 mins
The Inn on Harmony Island,Anne-Marie Meyer,7 hrs and 13 mins
Speak,Laurie Halse Anderson,5 hrs and 48 mins
Stiff,Mary Roach,8 hrs
Sula,Toni Morrison,5 hrs and 46 mins
"The China Study, Revised and Expanded Edition","T. Colin Campbell PhD,Thomas M. Campbell II MD",18 hrs and 2 mins
Legend,Marie Lu,7 hrs and 48 mins
Simply Said,Jay Sullivan,5 hrs and 46 mins
El Hombre Mas Rico De Babilonia [The Richest Man in Babylon],George S. Clason,5 hrs and 20 mins
The Happiness Project,Gretchen Rubin,10 hrs and 15 mins
The Oxygen Advantage,Patrick McKeown,9 hrs and 1 min
King of Shadows,Robert McCammon,18 hrs and 17 mins
Cobalt Blue,Matthew Reilly,3 hrs and 42 mins
Elite Sales Strategies,Anthony Iannarino,6 hrs and 48 mins
So Not Meant to Be,Meghan Quinn,13 hrs and 23 mins
Control System,Tom Larcombe,13 hrs and 1 min
Birds of California,Katie Cotugno,7 hrs and 49 mins
Long Live the Pumpkin Queen,Shea Ernshaw,6 hrs and 28 mins
Revenge,Tom Bower,16 hrs and 22 mins
Kiss Me Forever,Layla Hagen,7 hrs and 19 mins
The Devil's Stop,Scott Blade,6 hrs and 4 mins
"Grasping God's Word, Fourth Edition","J. Scott Duvall,J. Daniel Hays",20 hrs and 14 mins
Courted by Beasts,Eva Chase,9 hrs and 34 mins
The Politically Incorrect Guide to Economics,Thomas J. DiLorenzo,7 hrs and 26 mins
Out of the Night,Susan May Warren,5 hrs and 36 mins
Peak,"Robert Pool,Anders Ericsson",10 hrs
The Secrets in Shadow and Blood,Lana Pecherczyk,10 hrs and 29 mins
The Lost Nebula,Vaughn Heppner,14 hrs and 4 mins
The Cabinet of Dr. Leng,"Douglas Preston,Lincoln Child",13 hrs and 30 mins
Superpowers Unlocked,Justin Trublood,10 hrs and 20 mins
Crooked Paradise: The Complete Series,"Eva Chance,Harlow King",35 hrs and 2 mins
The Leadership Secrets of Nick Saban,John Talty,8 hrs and 27 mins
Blood & Bones: Rev,Jeanne St. James,9 hrs and 30 mins
"Men Are from Mars, Women Are from Venus",John Gray,9 hrs and 28 mins
"Spies, Lies, and Algorithms",Amy B. Zegart,11 hrs and 54 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,12 hrs and 10 mins
We Never Die,Matt Fraser,6 hrs and 25 mins
Aurora,David Koepp,9 hrs and 6 mins
The Bodyguard,Katherine Center,9 hrs and 44 mins
The Father Daughter Talk,R.C. Blakes Jr.,2 hrs and 41 mins
The Catch Me If You Can,Jessica Nabongo,12 hrs and 25 mins
Black Mouth,Ronald Malfi,12 hrs and 13 mins
In the Pines,Kendra Elliot,8 hrs and 51 mins
King of Battle and Blood,Scarlett St. Clair,12 hrs and 26 mins
These Twisted Bonds,Lexi Ryan,13 hrs and 35 mins
Sister Friends Forever,Kimberla Lawson Roby,8 hrs and 47 mins
Reckoning,TurtleMe,22 hrs and 45 mins
Shared Insanity,KamikazePotato,19 hrs and 18 mins
Emma y las otras señoras del narco [Emma and the Other Narco Ladies],Anabel Hernandez,8 hrs and 56 mins
An Immense World,Ed Yong,14 hrs and 17 mins
Flowers for Algernon,Daniel Keyes,8 hrs and 58 mins
The Devil's Highway,Luis Alberto Urrea,8 hrs and 53 mins
The Last Unicorn,"Peter S. Beagle,Patrick Rothfuss",8 hrs and 9 mins
Revenge,Tom Bower,16 hrs and 22 mins
Kiss Me Forever,Layla Hagen,7 hrs and 19 mins
Peak,"Robert Pool,Anders Ericsson",10 hrs
"Grasping God's Word, Fourth Edition","J. Scott Duvall,J. Daniel Hays",20 hrs and 14 mins
The Suitcase Clone,Robin Sloan,2 hrs and 11 mins
Out of the Night,Susan May Warren,5 hrs and 36 mins
The Secrets in Shadow and Blood,Lana Pecherczyk,10 hrs and 29 mins
The Lost Nebula,Vaughn Heppner,14 hrs and 4 mins
Crooked Paradise: The Complete Series,"Eva Chance,Harlow King",35 hrs and 2 mins
The Leadership Secrets of Nick Saban,John Talty,8 hrs and 27 mins
Blood & Bones: Rev,Jeanne St. James,9 hrs and 30 mins
"Spies, Lies, and Algorithms",Amy B. Zegart,11 hrs and 54 mins
"Men Are from Mars, Women Are from Venus",John Gray,9 hrs and 28 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,12 hrs and 10 mins
Aurora,David Koepp,9 hrs and 6 mins
By Way of Deception,"Amir Tsarfati,Steve Yohn",10 hrs
The Bodyguard,Katherine Center,9 hrs and 44 mins
The Father Daughter Talk,R.C. Blakes Jr.,2 hrs and 41 mins
Black Mouth,Ronald Malfi,12 hrs and 13 mins
The Catch Me If You Can,Jessica Nabongo,12 hrs and 25 mins
Baby for the Bosshole,Nadia Lee,10 hrs and 40 mins
Sister Friends Forever,Kimberla Lawson Roby,8 hrs and 47 mins
These Twisted Bonds,Lexi Ryan,13 hrs and 35 mins
Reckoning,TurtleMe,22 hrs and 45 mins
American Royals III: Rivals,Katharine McGee,12 hrs and 32 mins
Not in It to Win It,Andy Stanley,5 hrs and 11 mins
Shared Insanity,KamikazePotato,19 hrs and 18 mins
An Immense World,Ed Yong,14 hrs and 17 mins
The Devil's Highway,Luis Alberto Urrea,8 hrs and 53 mins
The Last Unicorn,"Peter S. Beagle,Patrick Rothfuss",8 hrs and 9 mins
Tales of the Peculiar,Ransom Riggs,4 hrs and 26 mins
Final Orders,Gregory Ashe,12 hrs and 10 mins
Putin,Philip Short,29 hrs and 33 mins
Great Expectations,Charles Dickens,18 hrs and 32 mins
Paddle Your Own Canoe,Nick Offerman,10 hrs and 50 mins
One Flew Over the Cuckoo's Nest,"Ken Kesey,Robert Faggen - introduction",10 hrs and 32 mins
The Kybalion,The Three Intiates,4 hrs and 6 mins
The Power of Intention,Dr. Wayne W. Dyer,4 hrs and 27 mins
Tales of a Fourth Grade Nothing,Judy Blume,2 hrs and 33 mins
Living Untethered,Michael A. Singer,5 hrs and 32 mins
Down the Highway,Howard Sounes,20 hrs and 31 mins
Torment,Jeremy Robinson,9 hrs and 59 mins
The World's Worst Assistant,"Sona Movsesian,Conan O'Brien - foreword",5 hrs and 25 mins
Tales of a Female Nomad,Rita Golden Gelman,12 hrs and 41 mins
What Lies Beneath,J. G. Hetherton,10 hrs and 10 mins
Start with Why,Simon Sinek,7 hrs and 18 mins
Lilac Girls,Martha Hall Kelly,17 hrs and 30 mins
The Nightingale,Kristin Hannah,17 hrs and 19 mins
The Name of the Wind,Patrick Rothfuss,27 hrs and 55 mins
The Song of Achilles,Madeline Miller,11 hrs and 15 mins
A Gentleman in Moscow,Amor Towles,17 hrs and 52 mins
The Obstacle Is the Way,Ryan Holiday,6 hrs and 7 mins
To Sell Is Human,Daniel H. Pink,6 hrs and 6 mins
The Everything Store,Brad Stone,13 hrs
Off to Be the Wizard,Scott Meyer,10 hrs and 45 mins
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,11 hrs and 27 mins
The Lazarus Heist,Geoff White,8 hrs and 28 mins
The Man Without Qualities,Robert Musil,60 hrs and 30 mins
Different,Frans de Waal,12 hrs and 55 mins
Germination,Seth Ring,12 hrs
Emotional Intelligence,Daniel Goleman,13 hrs and 32 mins
Journey to Munich,Jacqueline Winspear,9 hrs and 18 mins
The Book of Joy,"His Holiness the Dalai Lama,Desmond Tutu,Douglas Carlton Abrams",10 hrs and 12 mins
Punk 57,Penelope Douglas,10 hrs and 7 mins
Siege and Storm,Leigh Bardugo,11 hrs and 49 mins
Band of Brothers,Stephen E. Ambrose,12 hrs and 37 mins
Radical Acceptance,Tara Brach,12 hrs and 15 mins
Lone Survivor,"Marcus Luttrell,Patrick Robinson",14 hrs and 17 mins
The Deal,Elle Kennedy,12 hrs and 26 mins
Grant,Ron Chernow,48 hrs and 2 mins
Benjamin Franklin: An American Life,Walter Isaacson,24 hrs and 40 mins
The Secret History,Donna Tartt,22 hrs and 3 mins
Kindred,Octavia E. Butler,10 hrs and 55 mins
The 4-Hour Body,Timothy Ferriss,3 hrs and 51 mins
The Color of Law,Richard Rothstein,9 hrs and 32 mins
20th Century Ghosts,Joe Hill,12 hrs and 10 mins
The Demon-Haunted World,Carl Sagan,17 hrs and 23 mins
I Am Not Your Perfect Mexican Daughter,Erika L. Sánchez,9 hrs and 41 mins
Down the Highway,Howard Sounes,20 hrs and 31 mins
The World's Worst Assistant,"Sona Movsesian,Conan O'Brien - foreword",5 hrs and 25 mins
When the Moon Turns to Blood,Leah Sottile,10 hrs and 38 mins
It's Good to Be a Man,"Michael Foster,Dominic Bnonn Tennant",4 hrs and 57 mins
Imagine Heaven,John Burke,10 hrs and 30 mins
The Secret Life of Albert Entwistle,Matt Cain,10 hrs and 49 mins
I Don't Want to Be the Hero Vol. 4,M.E. Thorne,8 hrs and 2 mins
The Woman Inside,Anna-Lou Weatherley,11 hrs and 19 mins
Open Season,Linda Howard,8 hrs and 47 mins
The Gift of Fear,Gavin de Becker,12 hrs and 50 mins
Dave the Villager 12,Dave Villager,1 hr and 56 mins
A Dance with the Fae Prince,Elise Kova,12 hrs and 57 mins
Eat for Energy,"Ari Whitten,Alex Leaf MS",7 hrs and 27 mins
A Betrayal of Storms,Ben Alderson,14 hrs and 2 mins
"Girl, Forsaken",Blake Pierce,7 hrs and 44 mins
Oath of Sacrifice,Jane Henry,7 hrs and 49 mins
Hidden Pictures,Jason Rekulak,9 hrs and 29 mins
Lupercal's War,"Graham McNeill,Aaron Dembski-Bowden,Nick Kyme,Rob Sanders,John French,Chris Wraight,Chris Forrester,James Swallow,Matthew Farrer,Guy Haley,Dan Abnett,Gav Thorpe",17 hrs and 47 mins
Do Hard Things,Steve Magness,8 hrs and 53 mins
One Crazy Week,Claire Kingsley,5 hrs and 30 mins
Napoleon Hill's Outwitting the Devil,"Napoleon Hill,Sharon L. Lechter - editor",5 hrs and 51 mins
Redeeming Love,Francine Rivers,17 hrs and 17 mins
What Your Food Ate,"David R. Montgomery,Anne Biklé",15 hrs and 53 mins
The Ink Black Heart,Robert Galbraith,32 hrs and 43 mins
Hidden Pictures,Jason Rekulak,9 hrs and 29 mins
The Golden Enclaves,Naomi Novik,12 hrs
The Girl on Wildfire Ridge,Leslie Wolfe,12 hrs and 2 mins
"Lanterns, Lakes, & Larceny",Tonya Kappes,3 hrs and 32 mins
Song of Spider-Man,Glen Berger,10 hrs and 55 mins
Zachary Ying and the Dragon Emperor,Xiran Jay Zhao,9 hrs and 37 mins
Under the Skin,Linda Villarosa,10 hrs and 4 mins
Old Country,"Matt Query,Harrison Query",12 hrs and 44 mins
Cashing Out,"Julien Saunders,Kiersten Saunders",6 hrs and 2 mins
The Big Dark Sky,Dean Koontz,12 hrs and 11 mins
Nazi Billionaires,David de Jong,11 hrs and 55 mins
Empire Reborn,Jay Allan,14 hrs and 41 mins
The Colony,Audrey Magee,8 hrs and 10 mins
A Perfect Neighborhood,Liz Alterman,10 hrs and 29 mins
Faithfully Different,Natasha Crain,7 hrs and 12 mins
When the Moon Turns to Blood,Leah Sottile,10 hrs and 38 mins
It's Good to Be a Man,"Michael Foster,Dominic Bnonn Tennant",4 hrs and 57 mins
The Secret Life of Albert Entwistle,Matt Cain,10 hrs and 49 mins
The Big Leap,Gay Hendricks,5 hrs and 27 mins
Million Dollar Identity,"Jamie Wolf,Myron Golden,Victoria Kennedy,Dan Ashburn,Eric Beer,Angela Little",6 hrs and 28 mins
Loving Dark Men,JA Huss,12 hrs and 27 mins
Tongues of Fire,Jennifer LeClaire,6 hrs and 9 mins
Something Wicked This Way Comes,Ray Bradbury,9 hrs and 5 mins
Finish,Jon Acuff,4 hrs and 58 mins
A Clockwork Orange,Anthony Burgess,7 hrs and 44 mins
The Devil's Chessboard,David Talbot,25 hrs and 23 mins
Hawaii,"James A. Michener,Steve Berry - introduction",51 hrs and 56 mins
Final Girls,Riley Sager,12 hrs and 24 mins
The Confidence Code,"Katty Kay,Claire Shipman",6 hrs and 45 mins
The Gift of Therapy,Irvin D. Yalom,7 hrs and 39 mins
Into the Water,Paula Hawkins,11 hrs and 32 mins
The Tale of Despereaux,Kate DiCamillo,3 hrs and 30 mins
The Power of One,Bryce Courtenay,21 hrs and 33 mins
The Girl and the 7 Deadly Sins,A.J. Rivers,7 hrs and 28 mins
Financial Intelligence,"Karen Berman,Joe Knight",7 hrs and 20 mins
The Leadership Challenge Sixth Edition,"James M. Kouzes,Barry Posner",11 hrs and 4 mins
The Princess Bride,William Goldman,2 hrs and 32 mins
The Love Dare,"Stephen Kendrick,Alex Kendrick",5 hrs and 48 mins
The Politically Incorrect Guide to Economics,Thomas J. DiLorenzo,7 hrs and 26 mins
Napoleon Hill's Outwitting the Devil,"Napoleon Hill,Sharon L. Lechter - editor",5 hrs and 51 mins
Redeeming Love,Francine Rivers,17 hrs and 17 mins
The Operator,Robert O'Neill,9 hrs and 42 mins
Nature Wants Us to Be Fat,Richard J. Johnson MD,9 hrs and 24 mins
Kismet,Amina Akhtar,10 hrs and 9 mins
The Rape of the Mind,Dr. Joost A.M. Meerloo,10 hrs and 23 mins
The Professor's Date,Lane Hayes,5 hrs and 58 mins
Imagine Heaven,John Burke,10 hrs and 30 mins
Rogues,Patrick Radden Keefe,15 hrs and 28 mins
Who Killed Jane Stanford?,Richard White,11 hrs and 28 mins
The Deadly Shallows,Dani Pettrey,11 hrs and 2 mins
The One and Only Ivan,"Katherine Applegate,Patricia Castelao",3 hrs and 46 mins
The Black Prism,Brent Weeks,21 hrs and 26 mins
Farmer Boy,Laura Ingalls Wilder,6 hrs and 27 mins
Mythology,Edith Hamilton,14 hrs and 34 mins
The Storm Before the Storm,Mike Duncan,10 hrs and 13 mins
The Rise of Theodore Roosevelt,Edmund Morris,26 hrs and 36 mins
Sweep with Me (Dramatized Adaptation),Ilona Andrews,3 hrs and 9 mins
Afterlives,Abdulrazak Gurnah,10 hrs and 13 mins
Crank,Ellen Hopkins,4 hrs and 31 mins
Dream Team,Jack McCallum,12 hrs and 56 mins
If We Break,Kathleen Buhle,9 hrs and 46 mins
Goodnight,Kelly Fox,8 hrs and 32 mins
Not in It to Win It,Andy Stanley,5 hrs and 11 mins
We Hunt Monsters 3,Aaron Oster,11 hrs and 47 mins
How to Eat Fried Worms,Thomas Rockwell,1 hr and 53 mins
Coolidge,Amity Shlaes,21 hrs and 4 mins
Before the Fall,Noah Hawley,12 hrs and 55 mins
Meet Me in the Bathroom,Lizzy Goodman,19 hrs and 42 mins
Manhattan Cult Story,Spencer Schneider,8 hrs and 1 min
A Light in the Flame,Jennifer L. Armentrout,24 hrs
We Can Never Leave This Place,Eric Larocca,2 hrs and 42 mins
My Story,Marilyn Monroe,4 hrs and 34 mins
The Art of Herbal Healing,Ava Green,5 hrs and 1 min
Wild Cat,Christine Feehan,15 hrs and 36 mins
Dempsey,"Brian Andrews,Jeffrey Wilson",11 hrs and 30 mins
This Time Tomorrow,Emma Straub,8 hrs and 31 mins
The Book of Five Rings,"Miyamoto Musashi,William Scott Wilson - translator",2 hrs and 41 mins
Robert E. Howard's Conan the Cimmerian Barbarian,"Robert E. Howard,Finn J. D. John",35 hrs and 6 mins
The Crusades,Thomas Asbridge,25 hrs and 32 mins
The Resurrection of Wildflowers,Micalea Smeltzer,9 hrs and 22 mins
Also a Poet,Ada Calhoun,6 hrs and 33 mins
Braiding Sweetgrass,Robin Wall Kimmerer,16 hrs and 44 mins
Ready Player One,Ernest Cline,15 hrs and 40 mins
The Skinny Confidential's Get the F*ck Out of the Sun,Lauryn Evarts Bosstick,9 hrs and 43 mins
The Upward Spiral,Alex Korb PhD.,5 hrs and 34 mins
Enlightened Vagabond,"Matthieu Ricard - editor and translator,Constance Wilkinson - editor",7 hrs and 20 mins
Chaos in Mudbug,Jana DeLeon,6 hrs and 51 mins
The End of the World Is Just the Beginning,Peter Zeihan,16 hrs and 44 mins
Rise of the Weakest Summoner: Volume I,J. R. Saileri,8 hrs and 56 mins
A Song for Everyone,John Lingan,8 hrs and 51 mins
Cleopatra and Frankenstein,Coco Mellors,14 hrs and 31 mins
Do Not Leave Quietly,Mario Murillo,3 hrs and 32 mins
How to Win Friends & Influence People,Dale Carnegie,7 hrs and 15 mins
The Four Agreements,don Miguel Ruiz,2 hrs and 31 mins
The Secret,Rhonda Byrne,4 hrs and 24 mins
Delphi Envoy,Bob Blanton,8 hrs and 36 mins
Temptation,"K. Loraine,Meg Anne",11 hrs and 46 mins
Sons of Thunder,"William W. Johnstone,J. A. Johnstone",11 hrs and 13 mins
The Hedge Wizard,Alex Maher,14 hrs and 21 mins
Armor,C.B. Titus,12 hrs and 25 mins
The Inmate,Freida McFadden,8 hrs and 5 mins
Encore in Death,J. D. Robb,Not Yet Known
The Skinny Confidential's Get the F*ck Out of the Sun,Lauryn Evarts Bosstick,9 hrs and 43 mins
Delphi Envoy,Bob Blanton,8 hrs and 36 mins
Managing Oneself,Peter F. Drucker,44 mins
Sons of Thunder,"William W. Johnstone,J. A. Johnstone",11 hrs and 13 mins
Courted by Beasts,Eva Chase,9 hrs and 34 mins
Horse,Geraldine Brooks,14 hrs and 6 mins
